assetName	diseaseName	level	group	description	patientDialogue	askSymptoms	pulseSymptoms	correctHerbs	requiredHerbs
ThatMienAmHuHoaVuong	Thất miên (Âm hư hỏa vượng)	3	TamMach	Âm hư sinh nội nhiệt, hư hỏa nhiễu tâm làm thần không yên và khó ngủ.	Cả đêm tôi trằn trọc không tài nào ngủ được, trong lòng bực dọc bứt rứt, lòng bàn tay chân nóng như hơ lửa.	Trằn trọc khó vào giấc ngủ.|Tâm phiền bứt rứt không yên.	Lòng bàn tay chân nóng rát.	Toan táo nhân|Mạch môn|Thục địa|Sơn thù du|Liên tâm	Toan táo nhân:7|Mạch môn:6|Thục địa:5|Sơn thù du:3|Liên tâm:2
HuyenVungKhiHuyet	Huyễn vựng (Khí huyết hư)	3	TamMach	Khí huyết hư yếu, thanh khiếu không được nuôi dưỡng nên sinh hoa mắt chóng mặt.	Tôi hễ cứ đứng ngồi thay đổi tư thế là hoa mắt chóng mặt tối sầm mặt mũi, tim đập thình thịch, mặt tái mét.	Chóng mặt dữ dội khi đổi tư thế.|Sắc mặt nhợt nhạt trắng bệch.	Tim đập nhanh hồi hộp.	Đảng sâm|Đương quy|Thục địa|Bạch thược|Xuyên khung	Đảng sâm:7|Đương quy:6|Thục địa:5|Bạch thược:3|Xuyên khung:2
TamHoaVuong	Tâm hỏa vượng	3	TamMach	Tâm hỏa bốc thịnh, nhiệt tà quấy tâm và nung đốt miệng lưỡi.	Đầu lưỡi tôi nổi mấy nốt loét đỏ rực đau rát khôn cùng, trong người bồn chồn mất ngủ, đi tiểu thì buốt rát.	Đầu lưỡi đỏ loét đau rát dữ dội.|Trong người bồn chồn mất ngủ.	Tiểu tiện ngắn đỏ rát.	Hoàng liên|Chi tử|Liên tâm|Mạch môn|Cam thảo	Hoàng liên:7|Chi tử:6|Liên tâm:5|Mạch môn:3|Cam thảo:2
TamThanBatGiao	Tâm thận bất giao	3	TamMach	Tâm hỏa và thận thủy không giao hòa, thần chí mất yên ổn và thận tinh suy tổn.	Tôi mất ngủ kinh niên nửa năm nay, tai cứ ù như ve kêu, thắt lưng mỏi nhừ, ngủ hay bị mộng tinh.	Mất ngủ kinh niên trằn trọc.|Tai ù như ve kêu liên tục.	Đau lưng mỏi gối, di tinh.	Thục địa|Toan táo nhân|Liên tâm|Mạch môn|Sơn thù du	Thục địa:7|Toan táo nhân:6|Liên tâm:5|Mạch môn:3|Sơn thù du:2
ThanAmHu	Thận âm hư	3	ThanKinh	Thận âm hao tổn, hư nhiệt phát sinh làm cơ thể mất cân bằng âm dương.	Lòng bàn tay chân tôi lúc nào cũng nóng bứt rứt, tai ù như ve kêu suốt ngày, ngủ hay bị di tinh chảy tủy.	Lòng bàn tay chân nóng, sốt hâm hấp.|Tai ù đặc như ve kêu suốt ngày.	Di tinh mộng tinh, lưỡi đỏ khô.	Thục địa|Sơn thù du|Mạch môn|Hoài sơn|Phục linh	Thục địa:7|Sơn thù du:6|Mạch môn:5|Hoài sơn:3|Phục linh:2
DiTinhMongTinh	Di tinh / Mộng tinh	3	ThanKinh	Thận khí bất cố hoặc tâm thận mất điều hòa khiến tinh quan không được giữ vững.	Tôi không phòng dục gì mà tinh dịch cứ tự chảy ra khi ngủ mơ, có lúc tỉnh cũng rỉ ra, người mỏi nhừ.	Tinh dịch tự chảy ra khi ngủ mơ.|Tinh dịch tự rỉ ra khi tỉnh.	Người mỏi nhừ rã rời gân cốt.	Sơn thù du|Thục địa|Hoài sơn|Phục linh|Toan táo nhân	Sơn thù du:7|Thục địa:6|Hoài sơn:5|Phục linh:3|Toan táo nhân:2
ThanKhiBatCo	Thận khí bất cố	3	ThanKinh	Thận khí suy yếu, chức năng cố nhiếp giảm khiến tiểu tiện và tinh khí khó giữ.	Một đêm tôi phải thức dậy đi tiểu đến bảy tám lần, lại còn hay bị tiểu són không kìm được, tai ù đặc.	Đi tiểu đêm liên tục nhiều lần.|Tiểu són không tự chủ được.	Tinh thần mệt mỏi, tai ù.	Sơn thù du|Thục địa|Nhục quế|Hoài sơn|Phục linh	Sơn thù du:7|Thục địa:6|Nhục quế:5|Hoài sơn:3|Phục linh:2
ToaCotThanKinhThong	Tọa cốt thần kinh thống	3	ThanKinh	Phong hàn thấp hoặc huyết ứ trở trệ kinh lạc vùng thắt lưng chân gây đau lan dọc.	Tôi bị đau nhói dọc từ thắt lưng chạy xiên xuống mông, lan ra sau đùi rồi buốt tận xuống gót chân.	Đau dọc từ thắt lưng xuống mông.|Đau mặt sau đùi and bắp chân.	Đau buốt tận xuống gót chân.	Độc hoạt|Tang ký sinh|Ngưu tất|Đương quy|Xuyên khung	Độc hoạt:7|Tang ký sinh:6|Ngưu tất:5|Đương quy:3|Xuyên khung:2
TriTatTri	Trĩ tật	3	NgoaiKhoa	Khí huyết ứ trệ ở hậu môn trực tràng, thấp nhiệt hoặc khí hư làm mạch lạc sa giãn.	Hậu môn tôi có búi thịt dư sa ra ngoài sưng to đau rát không ngồi nổi, đi ngoài máu chảy nhỏ giọt.	Búi thịt dư sa ngoài hậu môn.|Đau rát thốn không ngồi nổi.	Đại tiện ra máu tươi nhỏ giọt.	Đương quy|Hồng hoa|Đại hoàng|Tam thất|Bạch thược	Đương quy:7|Hồng hoa:6|Đại hoàng:5|Tam thất:3|Bạch thược:2
DoiTrangBaChanZona	Đới trạng ba chẩn (Zona)	3	NgoaiKhoa	Can đởm thấp nhiệt kèm độc tà uất ở kinh lạc, làm da nổi mụn nước đau rát theo đường kinh.	Mấy nốt mụn nước mọc kết thành chùm chạy dọc một bên sườn tôi, đau nhức rát bỏng như bị lửa đốt.	Mụn nước mọc kết thành chùm.|Mụn chạy dọc một bên mạn sườn.	Đau nhức rát bỏng như lửa đốt.	Khổ sâm|Chi tử|Sài đất|Kim ngân hoa|Liên kiều	Khổ sâm:7|Chi tử:6|Sài đất:5|Kim ngân hoa:3|Liên kiều:2
AnhLuuBuouCo	Anh lựu (Bướu cổ)	3	NgoaiKhoa	Đàm khí uất kết ở vùng cổ, khí huyết không thông tạo thành khối anh lựu.	Thầy xem cái cổ tôi dạo này sưng to thành một cục u lớn, sờ vào thấy chắc chắc, nuốt nước bọt cục u di động.	Vùng cổ trước sưng to thành khối u.|Khối u sờ thấy chắc không đau.	Khối u di động theo nhịp nuốt.	Xuyên bối mẫu|Uất kim|Hương phụ|Trần bì|Bán hạ chế	Xuyên bối mẫu:7|Uất kim:6|Hương phụ:5|Trần bì:3|Bán hạ chế:2
CotCotThuViemXuong	Cốt thư (Viêm xương tủy)	3	ThanKinh	Nhiệt độc và ứ huyết ăn sâu vào xương tủy, làm chính khí suy và mủ độc khó thoát.	Thịt đùi tôi sưng nhẹ thôi nhưng xương đau nhức buốt tận trong tủy, sau vỡ mủ ra lẫn cả vụn xương chết.	Đau nhức buốt tận sâu bên trong tủy xương.|Vết thương vỡ mủ đặc hôi thối.	Mủ lẫn cả các mảnh vụn xương chết.	Kim ngân hoa|Thổ phục linh|Tục đoạn|Đương quy|Cam thảo	Kim ngân hoa:7|Thổ phục linh:6|Tục đoạn:5|Đương quy:3|Cam thảo:2
AnChanMeDay	Ẩn chẩn (Mề đay)	4	NgoaiKhoa	Phong tà kết hợp huyết nhiệt hoặc thấp nhiệt ở da, làm bì phu nổi sẩn ngứa lan nhanh.	Khắp người tôi nổi lên từng đám sẩn cục đỏ rực gồ lên mặt da, ngứa điên cuồng, càng gãi càng lan.	Nổi sẩn cục đỏ thành đám.|Ngứa điên cuồng.	Càng gãi càng lan rộng.	Kinh giới|Thuyền thoái|Phòng phong|Kim ngân hoa|Sài đất|Cam thảo	Kinh giới:8|Thuyền thoái:6|Phòng phong:5|Kim ngân hoa:4|Sài đất:3|Cam thảo:2
TyChungThongTy	Tý chứng (Thống tý)	4	ThanKinh	Hàn thấp bế tắc kinh lạc khớp, khí huyết ngưng trệ sinh đau cố định dữ dội.	Tôi bị đau nhức dữ dội ở khớp đầu gối phải, đau cố định một chỗ, hễ trời lạnh là đau buốt như rách thịt.	Đau nhức khớp dữ dội cố định.|Gặp lạnh đau tăng như dao cắt.	Chườm nóng thì đỡ bớt.	Phụ tử chế|Nhục quế|Độc hoạt|Khương hoạt|Đương quy|Xuyên khung	Phụ tử chế:8|Nhục quế:6|Độc hoạt:5|Khương hoạt:4|Đương quy:3|Xuyên khung:2
LamChungNhietLam	Lâm chứng (Nhiệt lâm)	4	ThanKinh	Thấp nhiệt dồn xuống bàng quang, làm khí hóa bất lợi và đường tiểu nóng rát.	Mỗi lần đi tiểu tôi đau buốt đến phát khóc, đi rắt lắt nhắt nhiều lần mà nước tiểu cứ đỏ đặc u tối.	Tiểu tiện đau buốt, tiểu rắt.|Đi lắt nhắt nhiều lần.	Nước tiểu đặc đục đỏ.	Xa tiền tử|Hải kim sa|Cam thảo|Phục linh|Chi tử|Hoàng liên	Xa tiền tử:8|Hải kim sa:6|Cam thảo:5|Phục linh:4|Chi tử:3|Hoàng liên:2
HuyenVungCanDuong	Huyễn vựng (Can dương thượng kháng)	4	TamMach	Can dương bốc lên, phong nội động làm thanh khiếu bị nhiễu loạn.	Đầu óc tôi quay cuồng, hoa mắt thấy nhà cửa đảo lộn hết lên, bước đi hẫng hụt đầu nặng chân nhẹ, tai ù.	Chóng mặt hoa mắt nhà cửa đảo lộn.|Đầu nặng chân nhẹ bước đi hẫng.	Tai ù liên tục hay cáu gắt.	Thiên ma|Câu đằng|Thạch quyết minh|Bạch thược|Uất kim|Phục linh	Thiên ma:8|Câu đằng:6|Thạch quyết minh:5|Bạch thược:4|Uất kim:3|Phục linh:2
MenhMonHoaSuy	Mệnh môn hỏa suy (Ngũ canh tả)	4	TieuHoa	Mệnh môn hỏa suy, tỳ thận dương hư khiến hàn thấp không được vận hóa.	Khổ lắm thầy ơi, cứ tầm sáng sớm tinh mơ là bụng tôi lại đau quặn lên rồi đi ngoài lỏng, chân tay lạnh ngắt.	Tiêu chảy quặn bụng lúc sáng sớm.|Đi ngoài phân lỏng tơi tả.	Chân tay lạnh giá sợ lạnh.	Nhục quế|Phụ tử chế|Bạch truật|Phục linh|Sơn thù du|Can khương	Nhục quế:8|Phụ tử chế:6|Bạch truật:5|Phục linh:4|Sơn thù du:3|Can khương:2
ThachLamSoitietNieu	Thạch lâm (Sỏi tiết niệu)	4	ThanKinh	Thấp nhiệt và cặn trọc kết ở đường niệu thành sỏi, làm khí hóa bàng quang bế tắc.	Đang đi tiểu thì dòng tiểu của tôi bị tắc nghẹn nửa chừng đau buốt thấu ruột, có hôm tiểu ra cả hạt sỏi nhỏ.	Tiểu buốt đau quặn vùng thắt lưng.|Dòng nước tiểu tắc giữa chừng.	Tiểu ra sỏi nhỏ hoặc lẫn máu.	Kim tiền thảo|Hải kim sa|Xa tiền tử|Phục linh|Đan sâm|Chỉ thực	Kim tiền thảo:8|Hải kim sa:6|Xa tiền tử:5|Phục linh:4|Đan sâm:3|Chỉ thực:2
HuyetLam	Huyết lâm	4	ThanKinh	Nhiệt tà làm tổn thương huyết lạc ở hạ tiêu, huyết theo nước tiểu mà ra.	Thưa thầy, tôi đi tiểu ra toàn máu tươi với có cả cục máu đông, đường tiểu nóng rát kinh khủng.	Đi tiểu ra máu tươi hoặc máu cục.|Đường tiểu nóng rát dữ dội.	Bụng dưới căng tức đau quặn.	Tam thất|Xa tiền tử|Chi tử|Sinh địa|Bạch thược|Cam thảo	Tam thất:8|Xa tiền tử:6|Chi tử:5|Sinh địa:4|Bạch thược:3|Cam thảo:2
ThanDuongHu	Thận dương hư	4	ThanKinh	Thận dương suy yếu, mệnh môn hỏa kém làm cơ thể mất ôn ấm và thủy dịch ứ đọng.	Người tôi lúc nào cũng lạnh toát, chân tay giá như đá, thắt lưng gối mỏi đau, dương vật không cương nổi.	Sợ lạnh, chân tay lạnh giá.|Thắt lưng gối đau mỏi rã rời.	Liệt dương không cương cứng được.	Nhục quế|Phụ tử chế|Ba kích|Đỗ trọng|Thục địa|Sơn thù du	Nhục quế:8|Phụ tử chế:6|Ba kích:5|Đỗ trọng:4|Thục địa:3|Sơn thù du:2
YeuThongHuyetU	Yêu thống (Huyết ứ)	4	ThanKinh	Huyết ứ lưu ở vùng thắt lưng, kinh lạc bị bế tắc nên đau cố định như dao đâm.	Cái lưng tôi đau nhói như dao đâm tại một chỗ cố định, không thể cúi ngửa người, đêm nằm đau không ngủ nổi.	Đau lưng như dao đâm cố định một chỗ.|Không thể cúi ngửa xoay người.	Đau nặng nhức nhối về đêm.	Tam thất|Đương quy|Ngưu tất|Xuyên khung|Hồng hoa|Bạch thược	Tam thất:8|Đương quy:6|Ngưu tất:5|Xuyên khung:4|Hồng hoa:3|Bạch thược:2
KhaiHuyetXuatHuyetPhoi	Khái huyết	4	HoHap	Phế lạc tổn thương do nhiệt hoặc âm hư hỏa vượng, huyết theo ho mà thoát ra.	Cứu tôi với thầy ơi, tôi đang ho thì máu tươi trong họng cứ trào tuôn ra lượng lớn, ngực nóng rát môi khô khốc.	Máu tươi trào tuôn ra lượng lớn từ họng.|Trong lồng ngực nóng rát như lửa.	Môi khô khốc, thần trí hoảng loạn.	Tam thất|Mạch môn|Bạch thược|Sinh địa|Tang bạch bì|Cam thảo	Tam thất:8|Mạch môn:6|Bạch thược:5|Sinh địa:4|Tang bạch bì:3|Cam thảo:2
TamThongDauThatNguc	Tâm thống (Đau thắt ngực)	4	TamMach	Tâm mạch bế trở do khí trệ, huyết ứ hoặc đàm trọc, làm huyết khí không thông trước tim.	Lồng ngực trước tim tôi đau nhói dữ dội như bị bàn tay thép bóp nghẹt lấy, đau lan buốt ra cả bả vai trái.	Đau nhói dữ dội trước tim như bóp nghẹt.|Đau lan buốt ra bả vai trái.	Sắc mặt nhợt nhạt trắng bệch vã mồ hôi.	Đan sâm|Tam thất|Hồng hoa|Đương quy|Xuyên khung|Xương bồ	Đan sâm:8|Tam thất:6|Hồng hoa:5|Đương quy:4|Xuyên khung:3|Xương bồ:2
BangLauXuatHuyetTuCung	Băng lậu (Xuất huyết tử cung)	4	ThanKinh	Xung nhâm bất cố hoặc huyết nhiệt huyết ứ làm mạch huyết tử cung mất kiểm soát.	Máu dưới phần phụ của tôi cứ tuôn ra ồ ạt như xối không cách nào cầm được, người lả đi vì kiệt máu.	Máu âm đạo tuôn ra ồ ạt như xối.|Máu rỉ rả kéo dài nhiều ngày không dứt.	Người lả đi, sắc mặt trắng bệch kiệt máu.	Tam thất|Đương quy|Bạch thược|Sinh địa|Hồng hoa|Cam thảo	Tam thất:8|Đương quy:6|Bạch thược:5|Sinh địa:4|Hồng hoa:3|Cam thảo:2
TrungPhongDotQuy	Trung phong (Đột quỵ)	4	TamMach	Phong, hỏa, đàm, ứ nghịch lên che lấp thanh khiếu và bế tắc kinh lạc.	Tôi vừa bị ngã gục hôn mê, tỉnh lại thì một bên người không cử động được, miệng méo xếch và nói năng ngọng nghịu.	Đột ngột ngã gục hôn mê bất tỉnh.|Bán thân bất toại (liệt nửa người).	Miệng méo xếch, nói năng ngọng nghịu.	Thiên ma|Xương bồ|Uất kim|Câu đằng|Xuyên khung|Phục linh	Thiên ma:8|Xương bồ:6|Uất kim:5|Câu đằng:4|Xuyên khung:3|Phục linh:2
KhuyenChungNgatXiu	Khuyết chứng (Ngất xỉu)	4	TamMach	Khí huyết đột ngột nghịch loạn hoặc dương khí suy thoát, thanh khiếu mất nuôi dưỡng.	Tôi đang đứng thì tự dưng sắc mặt trắng bệch, chân tay lạnh ngắt rồi ngã lăn ra ngất xỉu, mất tri giác một lúc.	Sắc mặt trắng bệch, chân tay lạnh ngắt.|Đột ngột ngã lăn ngất xỉu mất tri giác.	Mạch đập yếu ớt muốn tuyệt.	Phụ tử chế|Nhục quế|Đảng sâm|Sinh khương|Cam thảo|Phục linh	Phụ tử chế:8|Nhục quế:6|Đảng sâm:5|Sinh khương:4|Cam thảo:3|Phục linh:2
CuongChungTamThanKich	Cuồng chứng	4	TamMach	Đàm hỏa nhiễu tâm, thần chí bị kích động làm tâm thần mất kiểm soát.	Cứu tôi với thầy ơi, tôi thấy thần trí mình kích động dữ dội, cứ muốn gào thét, mắng chửi và đập phá đồ đạc.	Thần trí kích động dữ dội, gào thét.|Nói năng bừa bãi, mắng chửi mọi người.	Chạy rông khắp nơi, đập phá đồ đạc.	Xương bồ|Đại hoàng|Chi tử|Hoàng liên|Uất kim|Phục linh	Xương bồ:8|Đại hoàng:6|Chi tử:5|Hoàng liên:4|Uất kim:3|Phục linh:2
GianChungDongKinh	Giản chứng (Động kinh)	4	TamMach	Phong đàm che lấp tâm khiếu, can phong nội động làm thần chí rối loạn từng cơn.	Tôi đang làm thì đột ngột ngã lăn ra đất hôn mê, chân tay co quật dữ dội, sùi bọt mép miệng kêu như gà vịt.	Đột ngột ngã lăn hôn mê bất tỉnh.|Chân tay co quật dữ dội cứng ngắc.	Sùi bọt mép, miệng phát tiếng kêu lạ.	Thiên ma|Xương bồ|Câu đằng|Phục linh|Bán hạ chế|Uất kim	Thiên ma:8|Xương bồ:6|Câu đằng:5|Phục linh:4|Bán hạ chế:3|Uất kim:2
UyChungLietTeoCo	Ủy chứng (Liệt/Teo cơ)	4	ThanKinh	Phế vị nhiệt thương tân hoặc can thận hư yếu, gân cơ mất nuôi dưỡng sinh mềm yếu teo cơ.	Hai chân hai tay tôi bủn rủn mềm nhũn không có tí lực nào, mấy tháng nay cơ bắp cứ tiêu teo tóp hẳn lại.	Chân tay bủn rủn mềm nhũn mất hết lực.|Không thể đi lại mang vác vật nặng.	Cơ bắp chân tay bị tiêu teo tóp hoàn toàn.	Thục địa|Đương quy|Ngưu tất|Đỗ trọng|Bạch thược|Đảng sâm	Thục địa:8|Đương quy:6|Ngưu tất:5|Đỗ trọng:4|Bạch thược:3|Đảng sâm:2
ThuyThongDuongThuy	Thủy thũng (Dương thủy)	4	ThanKinh	Phong thủy hoặc thấp nhiệt làm phế tỳ thận mất điều hòa, thủy dịch tràn ra toàn thân.	Mặt và mi mắt tôi sưng húp lên rồi lan nhanh ra phù thũng toàn thân, da căng bóng ấn vào lõm sâu xuống.	Phù thũng bắt đầu từ mi mắt và mặt.|Lan nhanh ra phù thũng toàn thân bụng to.	Da căng bóng loáng, ấn vào lõm sâu.	Phục linh|Xa tiền tử|Đại hoàng|Trần bì|Chỉ thực|Hậu phác	Phục linh:8|Xa tiền tử:6|Đại hoàng:5|Trần bì:4|Chỉ thực:3|Hậu phác:2
ThuyThongAmThuy	Thủy thũng (Âm thủy)	4	ThanKinh	Tỳ thận dương hư, thủy thấp không hóa được nên phù nặng ở hạ tiêu.	Tôi bị sưng phù thũng nặng từ thắt lưng trở xuống hai bàn chân, da xám xịt, ấn lõm sâu rất lâu mới đầy lên.	Phù thũng nặng từ thắt lưng xuống chân.|Da dẻ xám xịt tối tăm.	Ấn lõm sâu lâu hồi phục, chân tay lạnh ngắt.	Phụ tử chế|Nhục quế|Phục linh|Bạch truật|Sơn thù du|Can khương	Phụ tử chế:8|Nhục quế:6|Phục linh:5|Bạch truật:4|Sơn thù du:3|Can khương:2
LongBeBiTieuCap	Long bế (Bí tiểu cấp)	4	ThanKinh	Bàng quang khí hóa bế tắc do thấp nhiệt, khí trệ hoặc kết tụ, nước tiểu không thoát ra.	Cứu con thầy ơi, bụng dưới căng trướng lộn lên đau đớn dữ dội, con mót tiểu phát điên mà không rặn được giọt nào.	Bụng dưới căng trướng lộn lên đau đớn.|Mót tiểu dữ dội phát điên phát khóc.	Không thể rặn ra được một giọt nước tiểu.	Binh lang|Xa tiền tử|Phục linh|Đại hoàng|Chỉ thực|Hải kim sa	Binh lang:8|Xa tiền tử:6|Phục linh:5|Đại hoàng:4|Chỉ thực:3|Hải kim sa:2
HuyetUChungKhongThong	Huyết ứ chứng	4	TamMach	Huyết ứ ngưng kết trong kinh lạc tạng phủ, làm đau cố định và hình thành khối cứng.	Tôi bị đau nhói dữ dội tại một chỗ cố định trong bụng như đinh đâm, sờ vào thấy có khối u cứng ngắc.	Đau nhói tại một vị trí cố định như đinh đâm.|Sờ bụng thấy có khối u cứng ngắc.	Môi và lưỡi tím ngắt có điểm ứ huyết.	Tam thất|Đương quy|Đào nhân|Hồng hoa|Xuyên khung|Bạch thược	Tam thất:8|Đương quy:6|Đào nhân:5|Hồng hoa:4|Xuyên khung:3|Bạch thược:2
DocThucNgoDocNang	Độc thực (Ngộ độc thức ăn nặng)	4	TieuHoa	Độc tà từ thức ăn phạm vào trường vị, làm khí cơ rối loạn và chính khí suy sụp.	Sau khi ăn cơm xong bụng tôi đau lộn lên dữ dội, nôn mửa liên tục kèm tiêu chảy cấp, người vã mồ hôi lạnh.	Bụng đau quặn lộn lên dữ dội sau ăn.|Nôn mửa liên tục kèm tiêu chảy cấp.	Người vã mồ hôi lạnh, mạch trầm yếu.	Đại hoàng|Thần khúc|Cam thảo|Bán hạ chế|Trần bì|Phục linh	Đại hoàng:8|Thần khúc:6|Cam thảo:5|Bán hạ chế:4|Trần bì:3|Phục linh:2
HoangDanDuongHoang	Hoàng đản (Dương hoàng)	4	TieuHoa	Thấp nhiệt uất ở can đởm, mật dịch không theo đường thường nên phát ra hoàng đản.	Thầy xem toàn thân với lòng bàn tay tôi da nhuộm màu vàng rực như quả quýt, mắt cũng vàng, tiểu ra nước đậm.	Da toàn thân and lòng bàn tay vàng rực.|Củng mạc mắt nhuộm màu vàng chanh.	Sốt cao, nước tiểu vàng đậm như nước chè.	Nhân trần|Chi tử|Đại hoàng|Phục linh|Chỉ thực|Cam thảo	Nhân trần:8|Chi tử:6|Đại hoàng:5|Phục linh:4|Chỉ thực:3|Cam thảo:2
HoangDanAnHoang	Hoàng đản (Âm hoàng)	4	TieuHoa	Tỳ dương hư và hàn thấp ứ trệ, mật dịch không vận hành gây sắc vàng tối xạm.	Da dẻ tôi cứ vàng xạm u tối tối tăm lại, chân tay lạnh ngắt, bụng đầy trướng không ăn được, người suy kiệt.	Da và mắt màu vàng xạm tối tăm u uất.|Chân tay lạnh ngắt sợ lạnh.	Bụng đầy trướng, cơ thể suy kiệt gầy mòn.	Nhân trần|Phụ tử chế|Bạch truật|Phục linh|Can khương|Cam thảo	Nhân trần:8|Phụ tử chế:6|Bạch truật:5|Phục linh:4|Can khương:3|Cam thảo:2
DocXaCanRanCan	Độc xà cắn (Rắn độc cắn)	4	NgoaiKhoa	Xà độc nhập huyết, độc tà lan theo kinh lạc làm khí huyết bế tắc và chính khí suy yếu.	Tôi đi rừng bị rắn độc mổ vào chân, vết cắn sưng tấy đen bầm đau buốt, giờ mắt sụp xuống khó thở lắm.	Vết răng cắn sưng tấy đen bầm huyết ứ.|Đau nhức nhối lan nhanh lên đùi.	Tức ngực khó thở, sụp mi mắt lơ mơ.	Hùng hoàng|Tam thất|Kim ngân hoa|Liên kiều|Sài đất|Cam thảo	Hùng hoàng:8|Tam thất:6|Kim ngân hoa:5|Liên kiều:4|Sài đất:3|Cam thảo:2
NhamChungUngThu	Nham chứng (Ung thư)	4	NgoaiKhoa	Đàm, ứ và độc kết lâu ngày trong cơ thể, tạo thành khối cứng khó tiêu tán.	Trong người tôi mọc một khối u cứng ngắc như hòn đá bám sâu vào thịt, bề mặt gồ ghề, giờ đau đớn dữ dội.	Mọc khối u cứng ngắc như hòn đá dưới da.|Bề mặt u gồ ghề không dịch chuyển.	Giai đoạn muộn đau đớn nhức nhối thấu xương.	Tam thất|Xuyên bối mẫu|Bồ công anh|Đương quy|Hương phụ|Kim ngân hoa	Tam thất:8|Xuyên bối mẫu:6|Bồ công anh:5|Đương quy:4|Hương phụ:3|Kim ngân hoa:2
ThuNhotThu	Thư nhọt (Thư)	4	NgoaiKhoa	Âm độc hoặc hàn độc ẩn sâu trong cơ nhục, khí huyết suy khiến mủ độc khó thoát.	Tôi có một khối mụn bọc ẩn sâu dưới thịt, không đỏ không nóng nhưng đau âm ỉ tận xương, giờ loét hoại tử sâu.	Mụn độc bọc ẩn sâu dưới cơ thịt.|Không sưng đỏ nóng nhưng đau âm ỉ cốt tủy.	Vết mụn loét sâu hoại tử phá hủy thối thịt.	Phụ tử chế|Kim ngân hoa|Thổ phục linh|Đương quy|Xuyên khung|Cam thảo	Phụ tử chế:8|Kim ngân hoa:6|Thổ phục linh:5|Đương quy:4|Xuyên khung:3|Cam thảo:2
BachDienPhongBachBien	Bạch điến phong (Bạch biến)	4	NgoaiKhoa	Phong tà, huyết hư hoặc can thận bất túc làm da mất nuôi dưỡng và sắc tố suy giảm.	Khắp vùng da tay da mặt tôi tự dưng mất hết màu sắc, trở nên trắng bệch thành từng mảng lớn nhìn sợ lắm.	Da mất hoàn toàn sắc tố bình thường.|Biến thành các mảng trắng bệch rõ rệt.	Không đau không ngứa da dẻ bình thường.	Sinh địa|Đương quy|Thổ phục linh|Xuyên khung|Bạch thược|Thục địa	Sinh địa:8|Đương quy:6|Thổ phục linh:5|Xuyên khung:4|Bạch thược:3|Thục địa:2
NguuBiNganVayNen	Ngưu bì ngân (Vảy nến)	4	NgoaiKhoa	Huyết nhiệt, huyết táo hoặc phong thấp uất ở da làm bì phu dày khô bong vảy.	Vùng da lưng tôi dày lên thô ráp như da trâu, cạo ra toàn vảy trắng như nến vụn, gãi sâu là rớm máu tươi.	Da dày cộm lên thô ráp như da trâu.|Bong tróc ra many lớp vảy trắng như nến vụn.	Ngứa ngáy dữ dội, gãi sâu rớm máu tươi.	Bạch tiễn bì|Thổ phục linh|Sinh địa|Đương quy|Khổ sâm|Cam thảo	Bạch tiễn bì:8|Thổ phục linh:6|Sinh địa:5|Đương quy:4|Khổ sâm:3|Cam thảo:2
LaoHachTrangNhac	Lao hạch (Tràng nhạc)	4	NgoaiKhoa	Đàm hỏa uất kết ở vùng cổ, chính khí suy khiến hạch kết lâu ngày hóa mủ.	Hai bên cổ tôi mọc một chuỗi hạch cứng như hạt đậu, giờ hạch sưng to dính lùm vào nhau loét mủ chảy dịch hôi.	Chuỗi hạch cứng mọc dọc hai bên cổ.|Các cục hạch sưng to dính lùm vào nhau.	Vỡ loét mủ rò dịch hoại tử quanh năm khó lành.	Xuyên bối mẫu|Hùng hoàng|Hương phụ|Liên kiều|Hạ khô thảo|Cam thảo	Xuyên bối mẫu:8|Hùng hoàng:6|Hương phụ:5|Liên kiều:4|Hạ khô thảo:3|Cam thảo:2
NhiMinhNhiLungDiec	Nhĩ minh / Nhĩ lung	4	TamMach	Can thận hư hoặc đàm hỏa bế khiếu tai, làm thính lực suy giảm dần.	Cái tai tôi nó cứ tự ù ù inh ỏi như tiếng ve kêu suốt ngày đêm, giờ điếc hẳn chẳng nghe thấy người ta nói gì.	Tai tự nghe tiếng ù ù inh ỏi liên tục.|Tiếng ù tai vang lên như sóng biển ve kêu.	Thính lực mất hoàn toàn không nghe thấy gì.	Thục địa|Sơn thù du|Thiên ma|Đỗ trọng|Tục đoạn|Ngưu tất	Thục địa:8|Sơn thù du:6|Thiên ma:5|Đỗ trọng:4|Tục đoạn:3|Ngưu tất:2
CaoHoangHuSuyNhuoc	Cao hoang hư (Suy nhược tột độ)	4	TamMach	Chính khí suy kiệt lâu ngày, khí huyết âm dương đều hao tổn làm cơ thể tàn lụi.	Tôi bị bệnh lâu ngày giờ kiệt quệ gầy trơ xương, hơi thở đoản hụt không ra hơi, dùng bao nhiêu thuốc không đỡ.	Bệnh tật lâu ngày ăn sâu vào tạng phủ.|Cơ thể kiệt quệ, gầy trơ xương, hao tổn tủy.	Hơi thở đoản hụt yếu ớt, mạch muốn tuyệt.	Đảng sâm|Thục địa|Phụ tử chế|Bạch truật|Phục linh|Cam thảo	Đảng sâm:8|Thục địa:6|Phụ tử chế:5|Bạch truật:4|Phục linh:3|Cam thảo:2
